symbol,price
CTSIBTC,0.0000046
CTSIUSDT,0.1281
CTSIBNB,0.000597
CTSIBUSD,0.128
HIVEBNB,0.00429
HIVEBTC,0.00001099
HIVEUSDT,0.3047
CHRBNB,0.0004523
CHRBTC,0.00000348
CHRUSDT,0.0965
BTCUPUSDT,5.215
BTCDOWNUSDT,0.007902
GXSUSDT,1.7923
ARDRUSDT,0.0668
ERDBUSD,0.019661
LENDUSDT,0.51431
HBARBUSD,0.0488
MATICBUSD,0.5622
WRXBUSD,0.094
ZILBUSD,0.01676
MDTBNB,0.0007372
MDTBTC,0.0000017
MDTUSDT,0.04701
STMXBTC,0.00000016
STMXETH,0.00000292
STMXUSDT,0.006388
KNCBUSD,0.645
KNCUSDT,0.648
REPBUSD,13.673
REPUSDT,4.73
LRCBUSD,0.176
LRCUSDT,0.1761
IQBNB,0.00002243
IQBUSD,0.00502
PNTBTC,0.00000864
PNTUSDT,0.1299
BTCGBP,22859.99
ETHGBP,1358.02
XRPGBP,0.4355
BNBGBP,175.8
GBPBUSD,1.211
DGBBTC,0.00000023
DGBBUSD,0.00632
BTCUAH,1109108
USDTUAH,40.07
COMPBTC,0.001636
COMPBNB,5.719
COMPBUSD,45.37
COMPUSDT,45.28
BTCBIDR,430803329
ETHBIDR,25590555
BNBBIDR,3335250
BUSDBIDR,15548
USDTBIDR,15551
BKRWUSDT,0.0008453
BKRWBUSD,0.0008455
SCUSDT,0.00298
ZENUSDT,8.05
SXPBTC,0.00000997
SXPBNB,0.001296
SXPBUSD,0.276
SNXBTC,0.0000735
SNXBNB,0.00958
SNXBUSD,2.039
SNXUSDT,2.036
ETHUPUSDT,3.347
ETHDOWNUSDT,0.244
ADAUPUSDT,0.104
ADADOWNUSDT,0.001917
LINKUPUSDT,0.00608
LINKDOWNUSDT,0.000895
VTHOBNB,0.00000673
VTHOBUSD,0.000718
VTHOUSDT,0.001154
DCRBUSD,16.035
DGBUSDT,0.00626
GBPUSDT,1.211
STORJBUSD,0.2371
SXPUSDT,0.2764
IRISBNB,0.001662
IRISBTC,0.00000066
IRISBUSD,0.0608
MKRBNB,6.903
MKRBTC,0.05256
MKRUSDT,1456
MKRBUSD,1457
DAIBNB,0.04876
DAIBTC,0.00008966
DAIUSDT,1.0189
DAIBUSD,1.0181
RUNEBNB,0.00942
RUNEBTC,0.00007242
RUNEBUSD,2.006
MANABUSD,0.2975
DOGEBUSD,0.06116
LENDBUSD,0.5153
ZRXBUSD,0.1689
DCRUSDT,13.02
STORJUSDT,0.4244
XRPBKRW,319.76
ADABKRW,327.55
BTCAUD,37210.08
ETHAUD,2565.09
AUDBUSD,0.7255
FIOBNB,0.0001708
FIOBTC,0.00000074
FIOBUSD,0.01922
BNBUPUSDT,20.08
BNBDOWNUSDT,0.01814
XTZUPUSDT,0.002551
XTZDOWNUSDT,2.6001
AVABNB,0.002188
AVABTC,0.00001629
AVABUSD,0.47
USDTBKRW,1125
BUSDBKRW,1097.18
IOTABUSD,0.152
MANAUSDT,0.2975
XRPAUD,0.7
BNBAUD,421.1
AUDUSDT,0.7252
BALBNB,0.4258
BALBTC,0.0001178
BALBUSD,3.15
YFIBNB,82.19
YFIBTC,0.1918
YFIBUSD,5308
YFIUSDT,5314
BLZBUSD,0.0553
KMDBUSD,0.4676
BALUSDT,3.276
BLZUSDT,0.1342
IRISUSDT,0.01825
KMDUSDT,0.2221
BTCDAI,27705.27
